experiment: long_term_forecast_ETTh1_96_96_A3_PatchTST_FPEM_ETTh1_ftM_sl96_ll48_pl96_dm64_nh4_el1_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A3_B2_C2_P2_M3_V0_predmap_v1_pred_0
representation_space: raw
graph/representation_space: raw
graph/projector_used: false
cinv/mode: pattern_only
zinv/mode: stable_relation_correction
variant/input_mode: latent_only
predictive_stability/mode: relative_future
mapping/use_mode: full
stage2/freeze_patch_embedding: true
zinv/initial_difference_from_hidden: 0
graph_source/variance: 0.9894999598
graph_source/norm: 3.958183546
query/variance: 0.9894999598
query/norm: 3.958183546
pattern/num_active: 67
graph/num_patterns: 67
pattern/mean_support: 49.62686539
pattern/mean_novelty: 0.2681579292
pattern/novelty_mean: 0.2681579292
pattern/null_rate: 0.2681579292
mapping/num_active_edges: 3852
graph/num_mappings: 3852
mapping/mean_support: 73.44055176
mapping/mean_novelty: 0.438640058
mapping/novelty_mean: 0.438640058
mapping/stable_delta_norm_mean: 3.83095479
mapping/stable_delta_norm_p90: 5.415325165
mapping/deviation_norm_mean: 2.855426788
mapping/deviation_norm_p90: 4.09056139
variant/activation_mean: 0.6406721473
variant/activation_p90: 0.6796207428
forecast/full_metric: 0.3894558847
forecast/inv_metric: 0.3894558847
forecast/env_gain: -0.02348417044
c_inv_mean: 0.3593278229
c_inv_p10: 0.3203792572
c_inv_p50: 0.3613302112
c_inv_p90: 0.3953192532
cinv/mean: 0.3593278229
cinv/p10: 0.3203792572
cinv/p50: 0.3613302112
cinv/p90: 0.3953192532
cinv/std: 0.03019491956
pattern/c_mean: 0.3593278229
pattern/c_shape_mean: 0.7318421006
pattern/c_rec_mean: 0.9660820961
pattern/c_pred_mean: 0.5070970654
future_ratio/min: 0.6657344699
future_ratio/p10: 0.8144984841
future_ratio/p25: 0.9057062864
future_ratio/p50: 0.9717063308
future_ratio/p75: 1.044135451
future_ratio/p90: 1.244975567
future_ratio/max: 3.422583818
future_ratio/std: 0.3457655907
pattern_predictive_stability/min: 0.226112172
pattern_predictive_stability/p10: 0.4455393553
pattern_predictive_stability/p25: 0.4892043471
pattern_predictive_stability/p50: 0.5071749091
pattern_predictive_stability/p75: 0.5247400403
pattern_predictive_stability/p90: 0.5511199236
pattern_predictive_stability/max: 0.6003357768
pattern_predictive_stability/std: 0.05292413384
mapping/c_mean: 0.421972841
pattern/c_std: 0.03019491956
mapping/c_std: 0.03346692771
raw/pattern_distance_mean: 2.340625048
raw/pattern_distance_p90: 2.746547461
raw/reconstruction_error_mean: 0.3292499781
raw/deviation_norm_mean: 2.187400579
raw_deviation/norm_mean: 2.187400579
raw_deviation/norm_p90: 3.171973228
graph/correction_norm_mean: 2.237830162
graph/correction_norm_p90: 3.642617464
graph/gate_mean: 0.2478567213
graph/gate_p10: 0.06233814359
graph/gate_p50: 0.3024241328
graph/gate_p90: 0.354334116
graph/context_norm_mean: 2.480276346
hidden/invariant_base_norm_mean: 2.936425924
zinv/norm_mean: 4.565146923
graph/correction_to_hidden_ratio: 0.7529779077
hidden/norm_mean: 7.417486191
zvar/norm_mean: 2.042408228
zvar/norm_p90: 2.728713751
raw_deviation_projected/norm_mean: 0
raw_deviation_projected/norm_p90: 0
raw_deviation_projected/to_hidden_ratio: 0
mapping_conditional/pattern_only_mse: 2.692187071
mapping_conditional/mapping_mse: 2.675053835
mapping_conditional/gain: 0.01713323593
mapping_conditional/gain_percent: 0.636405847
mapping_conditional/sample_mean: 0.01713314094
mapping_conditional/sample_median: 0.01344680786
mapping_conditional/sample_p10: -0.01382136345
mapping_conditional/sample_p50: 0.01344680786
mapping_conditional/sample_p90: 0.05301761627
mapping_conditional/sample_fraction_gain_positive: 0.7357271095
mapping_shuffle/normal_mapping_mse: 0.3894558847
mapping_shuffle/shuffled_mapping_mse: 0.3894558847
mapping_shuffle/delta_mse: 0
edge_predictive_gain/mean: -0.0005927308812
edge_predictive_gain/median: 0.008030795492
edge_predictive_gain/p10: -0.1133005992
edge_predictive_gain/p50: 0.008030795492
edge_predictive_gain/p90: 0.152558282
edge_predictive_gain/fraction_positive: 0.554517134
edge_predictive_gain/spearman_mapping_stability: 0.04654233918
edge_predictive_gain/spearman_edge_support: -0.07186404787
correlation/pearson_c_pat_sample_mse: -0.1138359446
correlation/spearman_c_pat_sample_mse: -0.07749299297
correlation/pearson_c_map_sample_mse: 0.05367320468
correlation/spearman_c_map_sample_mse: 0.03620485556
correlation/pearson_c_inv_sample_mse: -0.1138359446
correlation/spearman_c_inv_sample_mse: -0.07749299297
correlation/pearson_graph_gate_sample_mse: -0.08930110499
correlation/spearman_graph_gate_sample_mse: -0.05198111227
correlation/pearson_correction_norm_sample_mse: -0.07642252726
correlation/spearman_correction_norm_sample_mse: -0.06623166665
correlation/pearson_mapping_deviation_norm_sample_mse: -0.1383337219
correlation/spearman_mapping_deviation_norm_sample_mse: -0.1219347377
correlation/spearman_c_pat_raw_deviation_norm: -0.6858241695
correlation/spearman_raw_variation_zvar_norm: 0.5938434653
correlation/spearman_raw_variation_env_gain: 0.06878023879
correlation/spearman_c_shape_sample_mse: -0.07154475401
correlation/spearman_c_shape_sample_mae: -0.1133925566
c_shape/quantile_Q1_count: 557
c_shape/quantile_Q1_MSE: 0.4498719871
c_shape/quantile_Q1_MAE: 0.4248214066
c_shape/quantile_Q1_mean: 0.6422634721
c_shape/quantile_Q2_count: 557
c_shape/quantile_Q2_MSE: 0.4042108059
c_shape/quantile_Q2_MAE: 0.4162446558
c_shape/quantile_Q2_mean: 0.7038576007
c_shape/quantile_Q3_count: 557
c_shape/quantile_Q3_MSE: 0.3668768108
c_shape/quantile_Q3_MAE: 0.3997924328
c_shape/quantile_Q3_mean: 0.7354949117
c_shape/quantile_Q4_count: 557
c_shape/quantile_Q4_MSE: 0.3498619497
